County,ProjectNam,ProjectDev,ProjectOwn,State,State_Coun,County__St,PopDensity,Household_,View_Score,Latitude,Longitude,Capacity,CurrentPha,TimelineDa,OnlyCancel,Artificial,OperatingD,PhaseHisto,field_15_1,field_16_1,field_17_1,field_18_1,field_19_1,field_20_1,field_21_1,field_22_1,field_23_1,field_24_1,field_25_1,field_26_1,field_27_1,field_28_1,field_29_1,field_30_1,field_31_1,field_32_1,lr_tif,H_L_W,Google_Sentiment,standard_dev,variance,Sign_Google,members_env,Canceled
Davison,DavisonCountyWind,Davison County Wind,Davison County Wind,South Dakota,South Dakota - Davison County,"Davison County, South Dakota",44.8,48310,63,43.738,-98.196,20.7,Canceled,123,Yes,No,No,Canceled:2/9/2016,Proposed:10/9/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.4918032786885246,1.8767171772887836,3.5220673635307795,Positive,79,1
Dawson,MesquiteCreekWindFarm,Mesquite Creek Wind,Mesquite Creek Wind,Texas,Texas - Dawson County,"Dawson County, Texas",15.4,42354,15,32.8396,-101.7354,211.22,Operating,904,No,No,No,Operating:4/1/2015,Testing:2/2/2015,Under Const:10/7/2014,Permitted:1/30/2014,Proposed:10/9/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.9060150375939849,1.8092846803893616,3.273511054691635,Positive,211,0
Dawson,AirtricityLamesaWindFarm,Airtricity Lamesa Wind Farm,Airtricity Lamesa Wind Farm,Texas,Texas - Dawson County,"Dawson County, Texas",15.4,42354,84,32.7376,-101.9521,183,Canceled,791,Yes,No,No,Canceled:9/30/2009,Postponed:7/31/2008,Proposed:8/1/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,211,1
Day,DayCountyWind,Day County Wind,Day County Wind,South Dakota,South Dakota - Day County,"Day County, South Dakota",5.6,40647,6,45.2308,-97.9159,99,Operating,268,No,No,No,Operating:4/15/2010,Under Const:12/14/2009,Proposed:7/21/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,33,0
Day,DakotaWindEnergyPark(SD),Dakota Wind Energy,Dakota Wind Energy,South Dakota,South Dakota - Day County,"Day County, South Dakota",5.6,40647,17,45.5453,-97.2366,300,Canceled,3532,Yes,No,No,Canceled:9/18/2017,Postponed:7/15/2016,Proposed:1/17/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.5730337078651685,1.8966250817616188,3.597186700767267,Positive,33,1
De Witt,AltaFarmsWest,TradeWind Energy,TradeWind Energy,Illinois,Illinois - De Witt County,"De Witt County, Illinois",41.7,53510,117,40.195,-89.0713,199.5,App Pending,2250,No,Yes,No,App Pending:10/9/2018,Proposed:9/3/2012,Feasibility:6/12/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,101,0
De Witt,AltaFarmsEast,TradeWind Energy,TradeWind Energy,Illinois,Illinois - De Witt County,"De Witt County, Illinois",41.7,53510,148,40.2663,-88.8749,300,Canceled,445,Yes,No,No,Canceled:9/23/2016,Postponed:10/13/2015,Proposed:6/24/2014,Canceled:11/22/2013,Postponed:8/7/2013,Proposed:9/3/2012,Feasibility:6/12/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Low,0,NA,NA,NA,101,1
Deaf Smith,EasterRenewableEnergyProject,Easter Renewable Energy Project,Tri Global Energy,Texas,Texas - Deaf Smith County,"Deaf Smith County, Texas",12.9,47219,36,34.5922,-102.3738,300,Under Const,1795,No,Yes,No,Under Const:7/1/2015,Proposed:12/2/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,26,0
Deaf Smith,Hereford2WindFarm,TX Jumbo Road Wind,TX Jumbo Road Wind,Texas,Texas - Deaf Smith County,"Deaf Smith County, Texas",12.9,47219,9,34.6493,-102.1564,299.7,Operating,2360,No,No,No,Operating:4/1/2015,Testing:3/2/2015,Under Const:11/30/2013,Proposed:10/14/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,26,0
Deaf Smith,SpitfireWindFarm,Spitfire Power Partners,Spitfire Power Partners,Texas,Texas - Deaf Smith County,"Deaf Smith County, Texas",12.9,47219,50,34.815,-102.3985,400,Canceled,1812,Yes,No,No,Canceled:10/1/2012,Postponed:6/30/2011,Proposed:10/16/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,26,1
Deaf Smith,HerefordWindFarm,TX Hereford Wind,TX Hereford Wind,Texas,Texas - Deaf Smith County,"Deaf Smith County, Texas",12.9,47219,26,34.7618,-102.2273,199.9,Operating,2260,No,No,No,Operating:12/22/2014,Under Const:12/31/2013,Proposed:10/14/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0.8235294117647058,1.7059473644448737,2.9102564102564106,Positive,26,0
Deer Lodge,SaphireWind,Mountain Energy,Mountain Energy,Montana,Montana - Deer Lodge County,"Deer Lodge County, Montana",12.6,39212,0,46.0094,-113.0406,100.5,Canceled,2134,Yes,No,No,Canceled:9/20/2007,Postponed:12/1/2006,Proposed:11/16/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,High,0,NA,NA,NA,72,1
